AnimalID,CageID,Sex,Cortisol (ug/dL),cortraw,ng
1001363-1,1001363,F,high off curve,100,1000
1001363-2,1001363,F,high off curve,100,1000
1058108-1,1058108,M,67.743,67.743,677.43
1058108-2,1058108,M,95.162,95.162,951.62
1058108-3,1058108,M,42.588,42.588,425.88
1062366-1,1062366,M,63.096,63.096,630.96
1062366-2,1062366,M,24.159,24.159,241.59
1064394-1,1064394,M,high off curve,100,1000
1064394-2,1064394,M,high off curve,100,1000
1068572-1,1068572,M,31.608,31.608,316.08
1068572-2,1068572,M,52.257,52.257,522.57
1068572-3,1068572,M,42.026,42.026,420.26
1074455-1,1074455,F,93.904,93.904,939.04
1074455-2,1074455,F,67.23,67.23,672.3
922587-1,922587,F,high off curve,100,1000
922587-2,922587,F,high off curve,100,1000
927693-1,927693,M,41.99,41.99,419.9
927693-2,927693,M,39.065,39.065,390.65
941702-1,941702,M,58.177,58.177,581.77
941702-2,941702,M,63.377,63.377,633.77
941702-3,941702,M,61.422,61.422,614.22
957162-1,957162,F,high off curve,100,1000
957162-2,957162,F,high off curve,100,1000
990342-1,990342,F,high off curve,100,1000
990342-2,990342,F,high off curve,100,1000